Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
143;"""Mulher Mulher""";Jean Garret;Maspe Filmes;SP;ago/79;1979;1,508,225
144;"""Bye Bye Brasil""";Carlos Diegues;LC Barreto;RJ;fev/80;1980;1,488,812
145;"""Muita Calma Nessa Hora""";Felipe Joffily;Idéias Ideais Design & Produções Ltda. / Casé Filmes Ltda.;RJ;nov/10;2010;1,485,498
146;"""Faroeste Caboclo""";René Sampaio;De Felippes Filmes E Produções Ltda;RJ;mai/13;2013;1,469,772
147;"""Gonzaga - De Pai para Filho""";Breno Silveira;Conspiração Filmes S/A;RJ;out/12;2012;1,460,494
148;"""A Partilha""";Daniel Filho;Lereby Produções;RJ;jun/01;2001;1,449,411
149;"""Muita calma nessa hora 2""";Felipe Joffily;Casé Filmes Ltda / GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S.A.;RJ;jan/14;2014;1,429,862
150;"""Lua de Mel e Amendoim""";Fernando de Barros;Sincrocine;RJ;ago/71;1971;1,413,830
151;"""Nos Embalos de Ipanema""";Antonio Calmon;Sincrocine;RJ;dez/78;1978;1,410,153
152;"""O Seminarista""";Geraldo Santos Pereira;Lynx Filmes;SP;dez/76;1976;1,401,795
153;"""A Vida de Jesus Cristo""";William Cobbett;Willliam Cobbett Produções;RJ;abr/71;1971;1,390,903
154;"""Histórias que nossas Babás não Contavam""";Anibal Massaini;Cinedistri;SP;nov/79;1979;1,384,954
155;"""Ariella""";John Herbert;Sincrocine;RJ;set/80;1980;1,383,596
156;"""Eles não Usam Black-Tie""";Leon Hirszman;Saga Filmes;RJ;set/81;1981;1,382,253
157;"""O Casal""";Daniel Filho;Produções Cinematográficas R. F. Farias;RJ;set/75;1975;1,370,706
158;"""Polícia Federal - A lei é para todos""";Marcelo Antunez;New Group Cine & TV / Raconto Filmes;RJ;set/17;2017;1,360,480
159;"""O Enterro da Cafetina""";Alberto Pieralisi;Magnus Filmes;RJ;ago/71;1971;1,355,674
160;"""Barra Pesada""";Reginaldo Farias;Produções Cinematográficas R. F. Farias;RJ;out/77;1977;1,355,130
161;"""Bacalhau""";Adriano Stuart;Omega Filmes;SP;mai/76;1976;1,352,217
162;"""Já não se Faz Amor como Antigamente""";Anselmo Duarte, John Herbert, Adriano Stuart;Cinedistri;SP;ago/76;1976;1,346,825
163;"""O Marginal""";Carlos Manga;Cinedistri;SP;dez/74;1974;1,343,160
164;"""A Ilha dos Paqueras""";Fauzi Mansur;INF/Titanus;SP;out/70;1970;1,335,132
165;"""Xuxa e o Tesouro da Cidade Perdida""";Moacyr Góes;Diler & Associados;RJ;dez/04;2004;1,331,652
166;"""Bete Balanço""";Lael Rodrigues;CPC;RJ;jul/84;1984;1,327,377
167;"""As Massagistas Profissionais""";Carlo Mossy;Vidya Produções;RJ;jun/76;1976;1,325,132
168;"""O Concurso""";Pedro Vasconcelos;Latinamerica Entretenimento Eireli;SP;jul/13;2013;1,320,102
169;"""Ninguém Segura essas Mulheres""";Anselmo Duarte, José Miziara, Jece Valadão, Harry Zalkowistch;Cinedistri;SP;mai/76;1976;1,318,476
170;"""A Virgem e o Machão""";José Mojica Marins;Maspe Filmes;SP;jul/74;1974;1,315,651
171;"""Cada um Dá o que Tem""";Silvio de Abreu, John Herbert, Adriano Stuart;Cinedistri;SP;jun/75;1975;1,310,605
172;"""Xuxa em o Mistério de Feiurinha""";Tizuka Yamazaki;Conspiração Filmes;RJ;dez/09;2009;1,307,135
173;"""Fome de Sexo """;Ody Fraga;Maspe Filmes;SP;ago/82;1982;1,300,021
174;"""Pra Frente, Brasil""";Roberto Farias;Produções Cinematográficas R. F. Farias;RJ;mar/82;1982;1,298,055
175;"""Carlota Joaquina, Princesa do Brazil""";Carla Camurati;Elimar Produções Artísticas;RJ;1995;1995;1,286,000
176;"""Os Machões""";Reginaldo Farias;Produções Cinematográficas R. F. Farias;RJ;ago/72;1972;1,284,633
177;"""Depravação""";Elio Vieira de Araujo;Cinemundi;SP;nov/80;1980;1,281,130
178;"""Memórias de um Gigolô""";Alberto Pieralisi;Magnus Filmes;RJ;ago/70;1970;1,277,932
179;"""Milionário e José Rico na Estrada da Vida""";Nelson Pereira dos Santos;Villafilmes Produções;RJ;nov/80;1980;1,276,979
180;"""A Dona da História""";Daniel Filho;Lereby Produções;RJ;out/04;2004;1,271,415
