"""Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público ;;;;
2018;B1800010300000;"""Não Se Aceitam Devoluções""";Andre Torres Moraes;Ficção;"""Total Entertainment""";RJ;""" -"""; -;Fox;488;"""4182222""";292,74;;;;
2018;B1700184000000;"""Nova Amsterdam""";Edson Soares;Ficção;"""Engady Cine Vídeo""";RN;""" -"""; -;Engady Cine Vídeo;2;"""4323""";340;;;;
2018;B1700456600000;"""O Animal Cordial""";Gabriela Amaral Almeida;Ficção;"""RT Features""";SP;"""Canal Brasil""";RJ;Califórnia;22;"""121650""";8,517;;;;
2018;B1500416000000;"""O Animal Sonhado""";Breno Macedo Batista/Luciana Vieira/Rodrigo Fernandes Dantas De Menezes/Samuel Brasileiro/Ticiana Augusto Lima/Victor Costa Lopes;Ficção;"""Tardo Filmes""";CE;""" -"""; -;Olhar Distribuição;1;"""994""";117;;;;
2018;B1800501600000;"""O Avental Rosa""";Jayme Monjardim;Ficção;"""Accorde Filmes""";RS;"""Globo Filmes""";RJ;Accorde Audiovisuais;1;"""800""";126;;;;
2018;B1700260300000;"""O Banquete""";Daniela Thomas;Ficção;"""Cisma Produções""";SP;"""T + T Projetos""";SP;Imovision;30;"""167525""";10,052;;;;
2018;B1700584300000;"""O Beijo No Asfalto""";Murilo Benício;Ficção;"""República Pureza Filmes""";RJ;"""Canal Brasil""";RJ;Arthouse;31;"""112859""";7,902;;;;
2018;B1800307900000;"""O Candidato Honesto 2""";Roberto Santucci;Ficção;"""Camisa Listrada/Panorama Filmes""";RJ;"""Telecine""";RJ;Downtown/Paris;736;"""8363263""";580,568;;;;
2018;B1700451600000;"""O Caso Do Homem Errado""";Camila Lopes De Moraes;Documentário;"""Praça de Filmes""";RS;""" -"""; -;Interagir Cultural;2;"""10797""";1,207;;;;
2018;B1800323800000;"""O Colar De Coralina""";Reginaldo Gontijo;Ficção;"""Brasilirica """;DF;"""Lua Virada""";DF;O2 Play;55;"""32614""";2,845;;;;
2018;B1800055100000;"""O Cravo E A Rosa - O Documentário""";Jorge Elias Primo Neto;Documentário;"""Kellys Kelfis""";RJ;""" -"""; -;Nozes Produções;1;"""70""";6;;;;
2018;B1700615400000;"""O Desmonte Do Monte""";Sinai Sganzerla;Documentário;"""Mercúrio Produções""";SP;""" -"""; -;Mercúrio Produções;9;"""69773""";5,121;;;;
2018;B1800397100000;"""O Doutrinador - O Filme""";Gustavo Bonafé;Ficção;"""Paris Entretenimento""";SP;"""Telecine""";RJ;Downtown;467;"""3933475""";276,658;;;;
2018;B1800446400000;"""O Fantástico Patinho Feio""";Denilson Felix Da Silva;Documentário;"""Caldo de Cana Filmes""";DF;""" -"""; -;Elo Company;25;"""5714""";596;;;;
2018;B1800000800000;"""O Grande Circo Mistico""";Cacá Diegues;Ficção;"""Luz Mágica Produções""";RJ;"""Globo Filmes""";RJ;H2O Films;152;"""831794""";51,12;;;;
2018;B1800115600000;"""O Homem Perfeito""";Marcus Baldini;Ficção;"""Damasco Filmes""";SP;"""Popcon/Telecine""";SP/RJ;Downtown;46;"""178904""";11,289;;;;
2018;B1800398300000;"""O Homem Que Parou O Tempo""";Hilnando Souto Mendes;Ficção;"""Hilnando Souto Mendes""";RJ;""" -"""; -;Elo Company;22;"""8236""";982;;;;
2018;B1700090400000;"""O Jabuti E A Anta""";Eliza Ribeiro Capai;Documentário;"""Usina de Imagens""";ES;"""1979 Curadoria e Criatividade Musical e Sonora/Associação Civil Greenpeace/Marina Yamaoka/Daesquina/Carol Quintanilha""";SP;Taturana;1;"""1905""";202;;;;
2018;B1800247400000;"""O Muro""";Lula Buarque De Hollanda;Documentário;"""Espiral""";RJ;""" -"""; -;Espiral;2;"""2661""";205;;;;
2018;B1800187300000;"""O Nó Do Diabo""";Gabriel Martins/Ian Abé/Jhésus Tribuzi/Ramon Porto Mota;Ficção;"""Vermelho Profundo""";PB;"""Elna Design""";PB;Elo Company;25;"""15589""";1,712;;;;
2018;B1700513700000;"""O Nome Da Morte""";Henrique Goldman;Ficção;"""TV Zero""";RJ;"""Globo Filmes/O2 Filmes""";RJ/SP;Imagem;139;"""711964""";45,766;;;;
2018;B1800324100000;"""O Paciente, O Caso Tancredo Neves""";Sergio Rezende;Ficção;"""Morena Filmes""";RJ;"""Globo Filmes/Xanadu/Telecine""";RJ;Paris;87;"""818899""";40,793;;;;
2018;B1800130600000;"""O Processo""";Maria Augusta Ramos;Documentário;"""Nofoco Filmes""";RJ;"""Canal Brasil""";RJ;Vitrine Filmes;63;"""915174""";65,918;;;;
2018;B1800038700000;"""O Renascimento Do Parto 2""";Eduardo Chauvet;Documentário;"""Masterbrasil Filmes, TV e Marketing Digital""";DF;""" -"""; -;Espaço Filmes;41;"""100785""";6,234;;;;
2018;B1800387700000;"""O Renascimento Do Parto 3""";Eduardo Chauvet;Documentário;"""Masterbrasil Filmes, TV e Marketing Digital""";DF;""" -"""; -;Espaço Filmes;13;"""27773""";1,434;;;;
2018;B1800346100000;"""O Segredo De Davi""";Diego Freitas;Ficção;"""Parakino Filmes""";SP;"""Movioca Content House/EH! Filmes""";SP/RJ;Elo Company;84;"""111775""";9,077;;;;
2018;B1700159700000;"""O Silêncio Da Noite É Que Tem Sido Testemunha Das Minhas Amarguras""";Petrônio Lorena;Documentário;"""Nosotros & Los Demás Produções Artísticas""";PE;"""Candiero Produções""";PE;Inquieta Cultura E Comunicação;5;"""7191""";794;;;;
2018;B1800193400000;"""O Silêncio É Uma Prece""";Carlos André Horácio Salles;Documentário;"""Cygnus Media""";SP;""" -"""; -;Downtown/Paris;29;"""97684""";5,613;;;;
